median_rent,median_income,total_pop,white_non_hisp,total_housing_units,vacant_housing_units,borough,year,geoid
1057.0,42041.0,3728,1460,1308,24,Brooklyn,2009,030000
1058.0,39242.0,2538,23,1206,226,Brooklyn,2009,030100
1069.0,44069.0,4029,1764,1523,77,Brooklyn,2009,030200
793.0,19580.0,3921,54,1591,327,Brooklyn,2009,030300
900.0,34958.0,3997,1939,1654,43,Brooklyn,2009,030400
1105.0,40221.0,2281,1084,681,0,Brooklyn,2009,030600
398.0,13250.0,4454,83,1949,110,Brooklyn,2009,030700
693.0,28587.0,1550,960,773,71,Brooklyn,2009,030800
861.0,32330.0,1644,157,603,96,Brooklyn,2009,030900
898.0,37715.0,2523,57,1195,179,Brooklyn,2009,031100
921.0,28820.0,4702,176,2221,259,Brooklyn,2009,031300
941.0,43707.0,4288,2892,1984,92,Brooklyn,2009,031400
892.0,32993.0,5187,416,2558,316,Brooklyn,2009,031500
946.0,32455.0,4051,76,1624,236,Brooklyn,2009,031701
1038.0,37969.0,3525,297,1454,202,Brooklyn,2009,031702
905.0,33318.0,3072,648,1406,144,Brooklyn,2009,031900
906.0,39162.0,5604,257,2013,92,Brooklyn,2009,032100
898.0,38836.0,3717,281,1539,81,Brooklyn,2009,032300
939.0,33327.0,6722,102,2559,124,Brooklyn,2009,032500
580.0,28718.0,6236,1108,2429,112,Brooklyn,2009,032600
922.0,39254.0,4092,296,1610,56,Brooklyn,2009,032700
657.0,36888.0,3609,302,1146,33,Brooklyn,2009,032800
874.0,35350.0,5029,881,2235,266,Brooklyn,2009,032900
498.0,20960.0,4778,1140,1820,51,Brooklyn,2009,033000
898.0,35625.0,4471,2617,1516,69,Brooklyn,2009,033100
912.0,40435.0,4986,3270,1351,19,Brooklyn,2009,033300
943.0,50441.0,2980,1573,951,121,Brooklyn,2009,033500
1016.0,56250.0,4553,3904,1957,317,Brooklyn,2009,033600
947.0,50661.0,4683,2059,1545,122,Brooklyn,2009,033700
933.0,27500.0,4350,272,1816,208,Brooklyn,2009,033900
506.0,23775.0,2615,950,717,0,Brooklyn,2009,034000
824.0,38486.0,2745,192,1119,20,Brooklyn,2009,034100
515.0,16452.0,6303,1983,2898,98,Brooklyn,2009,034200
516.0,16582.0,4835,79,2097,187,Brooklyn,2009,034300
951.0,41367.0,2488,46,1036,139,Brooklyn,2009,034500
845.0,26589.0,3256,82,1338,161,Brooklyn,2009,034700
1257.0,38413.0,1080,573,406,34,Brooklyn,2009,034801
756.0,48465.0,1326,177,370,0,Brooklyn,2009,034802
884.0,32188.0,6106,199,2104,127,Brooklyn,2009,034900
799.0,42986.0,3227,3071,1564,71,Brooklyn,2009,035000
981.0,35484.0,5038,699,1772,222,Brooklyn,2009,035100
247.0,9083.0,1243,759,488,20,Brooklyn,2009,035200
922.0,34658.0,5597,647,2089,161,Brooklyn,2009,035300
729.0,40968.0,5494,5377,2924,89,Brooklyn,2009,035400
963.0,34225.0,5397,473,1937,93,Brooklyn,2009,035500
794.0,41443.0,8780,8276,4576,220,Brooklyn,2009,035600
891.0,17188.0,1780,0,892,74,Brooklyn,2009,035700
927.0,19599.0,5893,98,2227,250,Brooklyn,2009,035900
803.0,19018.0,3139,2984,1821,55,Brooklyn,2009,036001
751.0,13429.0,3796,3678,2242,81,Brooklyn,2009,036002
766.0,16935.0,2296,45,1007,117,Brooklyn,2009,036100
902.0,32902.0,3874,1286,1393,155,Brooklyn,2009,036200
1001.0,32813.0,3344,10,1526,318,Brooklyn,2009,036300
1038.0,32598.0,2407,936,1008,190,Brooklyn,2009,036400
696.0,28837.0,2066,0,1151,133,Brooklyn,2009,036501
1088.0,54482.0,1106,0,470,153,Brooklyn,2009,036502
1043.0,49018.0,4175,1971,1388,144,Brooklyn,2009,036600
724.0,39659.0,1125,56,520,85,Brooklyn,2009,036700
747.0,23233.0,4573,92,1929,252,Brooklyn,2009,036900
963.0,55948.0,4500,3010,1683,121,Brooklyn,2009,037000
900.0,36127.0,4228,44,1692,191,Brooklyn,2009,037100
709.0,24884.0,3916,52,1744,250,Brooklyn,2009,037300
947.0,41295.0,8570,7188,4122,113,Brooklyn,2009,037400
955.0,41046.0,2566,16,1116,207,Brooklyn,2009,037500
1077.0,42635.0,3751,120,1604,188,Brooklyn,2009,037700
990.0,47681.0,3878,78,1500,120,Brooklyn,2009,037900
564.0,31063.0,4353,64,2001,270,Brooklyn,2009,038100
464.0,25414.0,5467,532,2041,91,Brooklyn,2009,038200
1082.0,36811.0,3961,44,1707,367,Brooklyn,2009,038300
827.0,27412.0,3303,87,1602,380,Brooklyn,2009,038500
956.0,42865.0,3051,1744,1246,153,Brooklyn,2009,038600
943.0,42539.0,4399,143,1503,218,Brooklyn,2009,038700
1016.0,42465.0,3391,3126,1371,124,Brooklyn,2009,038800
931.0,30435.0,2754,342,966,110,Brooklyn,2009,038900
1784.0,66183.0,2776,2575,845,70,Brooklyn,2009,039000
896.0,35060.0,2787,264,846,35,Brooklyn,2009,039100
1014.0,30550.0,2394,1817,1037,118,Brooklyn,2009,039200
1179.0,29193.0,2640,199,1146,239,Brooklyn,2009,039300
1045.0,48565.0,2668,2309,981,82,Brooklyn,2009,039400
959.0,26016.0,3534,558,1368,261,Brooklyn,2009,039500
913.0,59013.0,2213,1908,710,45,Brooklyn,2009,039600
897.0,32410.0,3350,9,1473,258,Brooklyn,2009,039700
969.0,34274.0,2489,1319,831,45,Brooklyn,2009,039800
774.0,26318.0,4088,107,1414,153,Brooklyn,2009,039900
1049.0,35040.0,2461,1613,1183,87,Brooklyn,2009,040000
912.0,30400.0,3751,198,1248,224,Brooklyn,2009,040100
989.0,49808.0,2614,1230,923,97,Brooklyn,2009,040200
972.0,39736.0,3011,62,1191,160,Brooklyn,2009,040300
